Skip number of rows: 62
Time used: 226,47 seconds

Problem instance parameters: 
Problem size = 15
Time windows = false
Maximum duration = 3
Best known sailing cost = 537616
Minimum number of installations = 1
Length of planning period = 7
Load factor = 1,2
Total charter cost of fleet = 7000000
Maximum number of installations = 8
Dataset sheet = 3
Minimum duration = 2

Heuristic parameters: 
Max iterations without improvement = 5000
Number of installations violation penalty = 1000
Fitness evaluation protocol = standard
Initial population heuristic = aimed
Reference proportion of feasible individuals = 0,6
Survivor selection protocol = standard
Diversification protocol = standard
Repair protocol = standard
Gap from best known solution = 0
Capacity constraint violation penalty = 1000
Proportion of elite individuals = 0,4
Education rate = 1
Iterations before diversify = 500
Genotype to phenotype converter protocol = standard
Education protocol = standard
Proportion of individuals considered for distance evaluation = 0,2
Reproduction protocol = standard
Population size = 25
Parent selection protocol = binary tournament
Number of offspring in a generation = 75
Granularity threshold in RI = 0,4
Duration constraint violation penalty = 1000
Repair rate = 0,5

Number of iterations: 8292
Diversifaction happened at iterations: [500, 3792, 4292, 4792, 5292, 5792, 6292, 6792, 7292, 7792, 8292]
Number of crossover restarts: 47950
Number of construction heuristic restarts: 1007

Penalized cost: 537701,83
Gap from BKS: 0,00
Day: 0 - vessel 1: [15, 14, 5, 4, 3, 7, 13, 1] cost: 79626,22 dur: 47,10 cap: 163,68, vessel 2: -, vessel 3: -
Day: 1 - vessel 1: -, vessel 2: [2, 12, 8, 10, 9, 11, 1, 13] cost: 79412,93 dur: 46,26 cap: 167,40, vessel 3: -
Day: 2 - vessel 1: -, vessel 2: -, vessel 3: [15, 14, 7, 6, 11, 8, 12, 2] cost: 85104,15 dur: 47,61 cap: 207,08
Day: 3 - vessel 1: [13, 7, 3, 4, 5, 14] cost: 67931,10 dur: 38,28 cap: 126,48, vessel 2: -, vessel 3: -
Day: 4 - vessel 1: -, vessel 2: [1, 12, 8, 10, 9, 11, 7, 15] cost: 78448,23 dur: 44,87 cap: 157,48, vessel 3: -
Day: 5 - vessel 1: [15, 7, 3, 4, 5, 14] cost: 67766,28 dur: 38,21 cap: 126,48, vessel 2: -, vessel 3: [2, 12, 8, 10, 9, 11, 1, 13] cost: 79412,93 dur: 46,26 cap: 167,40
Day: 6 - vessel 1: -, vessel 2: -, vessel 3: -

Chartered fleet:
Name: PSV_1, number: 1, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7
Name: PSV_2, number: 2, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7
Name: PSV_3, number: 3, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7

Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation	gap from BKS	best visits pr voyage	avg visits pr voyage
0	0.00	25.00	1000.00	1000.00	1000.00	504210.00	0.00	0.00	3.62	12.00	0.00	7.64	8.00	0.00	10.40	8.81
1	0.00	26.00	850.00	1200.00	1200.00	507333.60	0.00	0.00	3.62	12.00	0.00	7.39	8.04	0.00	10.40	8.80
2	0.00	27.00	850.00	1200.00	1200.00	507333.60	0.00	0.00	3.62	12.00	0.00	7.52	8.30	0.00	10.40	8.86
3	0.00	28.00	850.00	1200.00	1200.00	507333.60	0.00	0.00	3.62	12.00	0.00	7.91	8.43	0.00	10.40	8.91
4	0.00	29.00	850.00	1200.00	1200.00	507333.60	0.00	0.00	3.62	12.00	0.00	7.64	8.55	0.00	10.40	8.97
5	0.00	30.00	850.00	1200.00	1200.00	507333.60	0.00	0.00	3.62	12.00	0.00	7.44	8.57	0.00	10.40	8.96
6	0.00	31.00	850.00	1200.00	1200.00	507333.60	0.00	0.00	3.62	12.00	0.00	7.84	8.68	0.00	10.40	9.00
7	0.00	32.00	850.00	1200.00	1200.00	507333.60	0.00	0.00	3.62	12.00	0.00	7.60	8.50	0.00	10.40	8.95
8	0.00	33.00	850.00	1200.00	1200.00	507333.60	0.00	0.00	3.62	12.00	0.00	7.44	8.58	0.00	10.40	8.94
9	0.00	34.00	850.00	1200.00	1200.00	507333.60	0.00	0.00	3.62	12.00	0.00	7.41	8.56	0.00	10.40	8.94
10	0.00	35.00	850.00	1200.00	1200.00	505039.45	0.00	0.00	3.51	12.00	0.00	7.30	8.66	0.00	10.40	8.98
11	0.00	36.00	850.00	1200.00	1200.00	505039.45	0.00	0.00	3.51	12.00	0.00	7.37	8.75	0.00	10.40	9.02
12	0.00	37.00	850.00	1200.00	1200.00	505039.45	0.00	0.00	3.51	12.00	0.00	8.27	8.76	0.00	10.40	9.01
13	0.00	38.00	850.00	1200.00	1200.00	505039.45	0.00	0.00	3.51	12.00	0.00	8.06	8.58	0.00	10.40	8.97
14	0.00	39.00	850.00	1200.00	1200.00	505039.45	0.00	0.00	3.51	12.00	0.00	7.85	8.64	0.00	10.40	8.96
15	0.00	40.00	850.00	1200.00	1200.00	505039.45	0.00	0.00	3.51	12.00	0.00	7.67	8.55	0.00	10.40	8.95
16	0.00	41.00	850.00	1200.00	1200.00	505039.45	0.00	0.00	3.51	12.00	0.00	7.78	8.54	0.00	10.40	8.94
17	0.00	42.00	850.00	1200.00	1200.00	505039.45	0.00	0.00	3.51	12.00	0.00	7.60	8.57	0.00	10.40	8.94
18	0.00	43.00	850.00	1200.00	1200.00	505039.45	0.00	0.00	3.51	12.00	0.00	7.50	8.53	0.00	10.40	8.93
19	0.00	44.00	850.00	1200.00	1200.00	505039.45	0.00	0.00	3.51	12.00	0.00	7.34	8.45	0.00	10.40	8.93
20	0.00	45.00	850.00	1200.00	1200.00	505039.45	0.00	0.00	3.51	12.00	0.00	7.40	8.40	0.00	10.40	8.92
21	0.00	46.00	850.00	1200.00	1200.00	505039.45	0.00	0.00	3.51	12.00	0.00	7.25	8.39	0.00	10.40	8.91
